Componente,Problema,SIR 1 MIS,SIR Falla / SIR componente,Cant. SIR 1 MIS x Componente,prob SIR 1 MIS / total,,,,,,,,,,,,,,,,,,,,,,
Actuator - Shift,En corto / Falla funcional,22,73.33%,30,10.5634%,,,,,,,,,,,,,,,,,,,,,,
,Dañado / agrietado / golpeado / quebrado,5,16.67%,,,,,,,,,,,,,,,,,,,,,,,,
,Fuera de posición,2,6.67%,,,,,,,,,,,,,,,,,,,,,,,,
,Dañado // No detecta movimiento // sensor,1,3.33%,,,,,,,,,,,,,,,,,,,,,,,,
ACU,LONG DRAIN / Flujo,30,90.91%,33,11.6197%,,,,,,,,,,,,,,,,,,,,,,
,En corto,1,3.03%,,,,,,,,,,,,,,,,,,,,,,,,
,Dañado,1,3.03%,,,,,,,,,,,,,,,,,,,,,,,,
,Desajustado,1,3.03%,,,,,,,,,,,,,,,,,,,,,,,,
ACU //Actuador,En corto,1,100.00%,1,0.3521%,,,,,,,,,,,,,,,,,,,,,,
ACU//Bomba,En corto,1,100.00%,1,0.3521%,,,,,,,,,,,,,,,,,,,,,,
Agitador,Suelto / Mal ensamble / Sin ensamblar,4,50.00%,8,2.8169%,,,,,,,,,,,,,,,,,,,,,,
,Roto,2,25.00%,,,,,,,,,,,,,,,,,,,,,,,,
,Tornillo adicional,1,12.50%,,,,,,,,,,,,,,,,,,,,,,,,
,Gap,1,12.50%,,,,,,,,,,,,,,,,,,,,,,,,
Arnes,Sin continuidad,1,100.00%,1,0.3521%,,,,,,,,,,,,,,,,,,,,,,
Arnes Actuador,Trozado / Roto,3,50.00%,6,2.1127%,,,,,,,,,,,,,,,,,,,,,,
,Desconectado,3,50.00%,,,,,,,,,,,,,,,,,,,,,,,,
Arnes Bomba,Desconectado,6,100.00%,6,2.1127%,,,,,,,,,,,,,,,,,,,,,,
Arnes Cable de Poder,Desconectado,7,100.00%,7,2.4648%,,,,,,,,,,,,,,,,,,,,,,
Arnes de capacitor,Desconectado,7,100.00%,7,2.4648%,,,,,,,,,,,,,,,,,,,,,,
Arnes de Motor,Desconectado,6,100.00%,6,2.1127%,,,,,,,,,,,,,,,,,,,,,,
Arnes de Válvula,Desconectado,10,100.00%,10,3.5211%,,,,,,,,,,,,,,,,,,,,,,
Balero,Fuera de posición,1,100.00%,1,0.3521%,,,,,,,,,,,,,,,,,,,,,,
Banda,Suelta / Mal colocada,8,100.00%,8,2.8169%,,,,,,,,,,,,,,,,,,,,,,
Bobina de Válvula,Agrietada,1,100.00%,1,0.3521%,,,,,,,,,,,,,,,,,,,,,,
Bolas de Suspensión,Rotas,19,95.00%,20,7.0423%,,,,,,,,,,,,,,,,,,,,,,
,Sueltas,1,5.00%,,,,,,,,,,,,,,,,,,,,,,,,
Bomba,Quebrada,3,25.00%,12,4.2254%,,,,,,,,,,,,,,,,,,,,,,
,En corto / no activa,3,25.00%,,,,,,,,,,,,,,,,,,,,,,,,
,Abierta,3,25.00%,,,,,,,,,,,,,,,,,,,,,,,,
,Dañada,2,16.67%,,,,,,,,,,,,,,,,,,,,,,,,
,Quemada,1,8.33%,,,,,,,,,,,,,,,,,,,,,,,,
Bomba // ACU,En corto,1,100.00%,1,0.3521%,,,,,,,,,,,,,,,,,,,,,,
Cam Splutch,Fuera de posición / Mal ensamble,17,94.44%,18,6.3380%,,,,,,,,,,,,,,,,,,,,,,
,Quebrado,1,5.56%,,,,,,,,,,,,,,,,,,,,,,,,
Capacitor,Dañado / Quebrado,1,100.00%,1,0.3521%,,,,,,,,,,,,,,,,,,,,,,
Cover Pulley,Suelto,3,60.00%,5,1.7606%,,,,,,,,,,,,,,,,,,,,,,
,Flojo / falta de torque / Tornillo ausente,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,
,Fuera de posición,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,
Cup Dispenser,Fuera de posición,1,100.00%,1,0.3521%,,,,,,,,,,,,,,,,,,,,,,
Dispensador,Roto,2,66.67%,3,1.0563%,,,,,,,,,,,,,,,,,,,,,,
,Fuera de posición,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,
,Boton trabado,1,100.00%,1,0.3521%,,,,,,,,,,,,,,,,,,,,,,
LID,Ruido,7,100.00%,7,2.4648%,,,,,,,,,,,,,,,,,,,,,,
LID LOCK,En corto / No candadea / Falla funcional,3,60.00%,5,1.7606%,,,,,,,,,,,,,,,,,,,,,,
,Fuera de posición,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,
,Desajustado,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,
Manguera APS,Doblada,1,50.00%,2,0.7042%,,,,,,,,,,,,,,,,,,,,,,
,Desconectada / sin ensamblar,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,
Manguera de Drenado,Faltante,2,66.67%,3,1.0563%,,,,,,,,,,,,,,,,,,,,,,
,Rota,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,
Manguera de Drenado Tina a Bomba,Rota,1,100.00%,1,0.3521%,,,,,,,,,,,,,,,,,,,,,,
Mangueras de Llenado,Tamaño diferente al requerido,1,100.00%,1,0.3521%,,,,,,,,,,,,,,,,,,,,,,
,En corto / falla funcional,2,100.00%,2,0.7042%,,,,,,,,,,,,,,,,,,,,,,
Motor // Capacitor,En corto,1,100.00%,1,0.3521%,,,,,,,,,,,,,,,,,,,,,,
Pata Niveladora,Golpe,1,100.00%,1,0.3521%,,,,,,,,,,,,,,,,,,,,,,
Perilla,Suelta,1,100.00%,1,0.3521%,,,,,,,,,,,,,,,,,,,,,,
Polea,Floja / sin torque,8,100.00%,8,2.8169%,,,,,,,,,,,,,,,,,,,,,,
Rear Panel,Golpe,3,75.00%,4,1.4085%,,,,,,,,,,,,,,,,,,,,,,
,Mal ensamble,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,
Sello de Transmisión,Fuera de posición,1,100.00%,1,0.3521%,,,,,,,,,,,,,,,,,,,,,,
Tina,Fuga,1,100.00%,1,0.3521%,,,,,,,,,,,,,,,,,,,,,,
Transmisión,Ruidosa,5,50.00%,10,3.5211%,,,,,,,,,,,,,,,,,,,,,,
,Pegada,2,20.00%,,,,,,,,,,,,,,,,,,,,,,,,
,Trabada,2,20.00%,,,,,,,,,,,,,,,,,,,,,,,,
,Dañada / golpeada,1,10.00%,,,,,,,,,,,,,,,,,,,,,,,,
Transmisión // Actuador,Abierto,1,100.00%,1,0.3521%,,,,,,,,,,,,,,,,,,,,,,
Válvula,Abierta / flujo continuo,16,48.48%,33,11.6197%,,,,,,,,,,,,,,,,,,,,,,
,Desajustada / Abrazadera floja,4,12.12%,,,,,,,,,,,,,,,,,,,,,,,,
,Quemada,4,12.12%,,,,,,,,,,,,,,,,,,,,,,,,
,Falta de sello / empaque,2,6.06%,,,,,,,,,,,,,,,,,,,,,,,,
,No abre,2,6.06%,,,,,,,,,,,,,,,,,,,,,,,,
,Dañada / Quebrada,2,6.06%,,,,,,,,,,,,,,,,,,,,,,,,
,Tornillo ausente,1,3.03%,,,,,,,,,,,,,,,,,,,,,,,,
,Tapada,1,3.03%,,,,,,,,,,,,,,,,,,,,,,,,
,Quebrada,1,3.03%,,,,,,,,,,,,,,,,,,,,,,,,
Varillas de Suspensión,Rotas / Dañadas / Vencidas,13,92.86%,14,4.9296%,,,,,,,,,,,,,,,,,,,,,,
,Falta,1,7.14%,,,,,,,,,,,,,,,,,,,,,,,,
