Row Labels,ago,sep,oct,nov,dic,total,,,,,,,,,,,,,,,,,,,,,,,,
IMPROP CTRL SETTNG (925),2,106,97,19,8,232,,,,,,,,,,,,,,,,,,,,,,,,
GENERAL INSTRUCT (921),1,38,29,8,0,76,,,,,,,,,,,,,,,,,,,,,,,,
IMPROPER LOADING (924),0,29,12,5,7,53,,,,,,,,,,,,,,,,,,,,,,,,
MICROCMPU/CPU/ERC (153),0,25,20,4,3,52,,,,,,,,,,,,,,,,,,,,,,,,
CUST REFUSED RPR (555),0,13,16,8,3,40,,,,,,,,,,,,,,,,,,,,,,,,
SUSPENSION SYS (211),0,16,11,8,2,37,,,,,,,,,,,,,,,,,,,,,,,,
HOSE WASHR/SCREENS (315),1,16,12,3,1,33,,,,,,,,,,,,,,,,,,,,,,,,
DETERG/CLNR PROBLM (971),0,9,8,4,1,22,,,,,,,,,,,,,,,,,,,,,,,,
LEVL LEG/ROLL/CAST (213),0,6,7,2,0,15,,,,,,,,,,,,,,,,,,,,,,,,
INLET/MIXG/LOG VLV (331),0,5,5,3,0,13,,,,,,,,,,,,,,,,,,,,,,,,
PUMP (381),0,4,6,0,3,13,,,,,,,,,,,,,,,,,,,,,,,,
AGITATOR (271),0,7,3,2,0,12,,,,,,,,,,,,,,,,,,,,,,,,
DOOR/LID/DRAWER SW (121),0,7,4,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,
ACTUATOR SHIFT/SHIFTER (201),0,6,3,1,0,10,,,,,,,,,,,,,,,,,,,,,,,,
DOOR/LID (253),0,10,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,
CLUTCH/SUPERSTRUCTURE (232),0,3,5,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,
GEARCS ASSY/TRANS (231),0,2,5,0,1,8,,,,,,,,,,,,,,,,,,,,,,,,
INLET HOSE (311),0,3,3,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,
TUB (222),0,3,2,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,
HARNESS (111),0,2,3,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,
LATCH/LOCK ASSY (263),0,3,1,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,
PULLEYS (233),1,1,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,
MAIN MOTOR (141),0,3,1,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,
CONSOLE ASSY (254),0,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,
HINGE (261),0,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,
MISC INTERNAL PART (291),0,0,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,
BELTS (234),0,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,
CABINET/HOUSING (251),0,0,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,
CAPACITR/HRD START (175),0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,
MISC INTERNAL HOSE (319),0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,
UNSAT PERFORMANCE (932),0,1,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,
950 (950),0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
FASTNRS/CLIP/SCREW (293),0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
MISC EXTERNAL PART (292),0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
SERVADOOR (259),0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
TOP (252),0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
TURBOZONE (388),0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
UNBALANCE SWITCH / MOTION SENSOR (118),0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
